Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD),Duration
330689305,12/21/2023 02:55,12/22/2023 16:07,CHFJPY,Buy,0.02,0.0,0.0,166.239,166.556,0.0,0.0,31.7,4.45,0.04,Buy Baby Termite: CHFJPY,12345,,,,,,,,,,,,,1 days 13:12:43
330744688,12/21/2023 17:55,12/22/2023 04:46,GBPAUD,Buy,0.02,0.0,0.0,1.86675,1.87043,0.0,0.0,36.8,4.96,0.05,Buy Baby Termite: GBPAUD,12345,,,,,,,,,,,,,0 days 10:51:53
330736925,12/21/2023 16:00,12/21/2023 17:05,GBPUSD,Sell,0.02,0.0,0.0,1.2681,1.26587,0.0,0.0,22.3,4.46,0.04,Sell Baby Termite: GBPUSD,12345,,,,,,,,,,,,,0 days 01:05:09
330648122,12/20/2023 14:10,12/21/2023 13:17,EURCAD,Buy,0.02,0.0,0.0,1.46021,1.46321,0.0,0.0,30.0,4.48,0.04,Buy Baby Termite: EURCAD,12345,,,,,,,,,,,,,0 days 23:07:04
330570065,12/19/2023 12:00,12/19/2023 17:06,GBPJPY,Sell,0.02,0.0,0.0,183.532,183.214,0.0,0.0,31.8,4.4,0.04,Sell Baby Termite: GBPJPY,12345,,,,,,,,,,,,,0 days 05:06:22
330571311,12/19/2023 12:20,12/19/2023 17:01,SGDJPY,Sell,0.02,0.0,0.0,108.632,108.314,0.0,0.0,31.8,4.39,0.04,Sell Baby Termite: SGDJPY,12345,,,,,,,,,,,,,0 days 04:41:14
330571309,12/19/2023 12:20,12/19/2023 15:16,EURJPY,Sell,0.02,0.0,0.0,158.395,158.075,0.0,0.0,32.0,4.42,0.04,Sell Baby Termite: EURJPY,12345,,,,,,,,,,,,,0 days 02:56:59
330455223,12/15/2023 17:45,12/19/2023 14:52,GBPCAD,Buy,0.02,0.0,0.0,1.70029,1.70328,0.0,0.0,29.9,4.44,0.04,Buy Baby Termite: GBPCAD,12345,,,,,,,,,,,,,3 days 21:07:53
330317689,12/13/2023 23:05,12/19/2023 04:49,SGDJPY,Buy,0.02,0.0,0.0,107.205,107.525,0.0,0.0,32.0,4.45,0.04,Buy Baby Termite: SGDJPY,12345,,,,,,,,,,,,,5 days 05:44:22
330456099,12/15/2023 18:00,12/18/2023 18:14,USDCAD,Buy,0.06,0.0,0.0,1.33722,1.34034,0.0,0.0,31.2,13.9,0.13,Buy Baby Termite: USDCAD,12345,,,,,,,,,,,,,3 days 00:14:05
330352077,12/14/2023 11:00,12/18/2023 18:14,USDCAD,Buy,0.02,0.0,0.0,1.34658,1.34034,0.0,0.0,-62.4,-9.36,-0.09,Buy Baby Termite: USDCAD,12345,,,,,,,,,,,,,4 days 07:14:05
329802230,12/04/2023 17:30,12/18/2023 08:56,USDHKD,Sell,0.02,0.0,0.0,7.81622,7.79918,0.0,0.0,170.4,4.35,0.04,Sell Baby Termite: USDHKD,12345,,,,,,,,,,,,,13 days 15:26:28
330381690,12/14/2023 17:20,12/15/2023 17:20,GBPAUD,Sell,0.02,0.0,0.0,1.9,1.89681,0.0,0.0,31.9,4.25,0.04,Sell Baby Termite: GBPAUD,12345,,,,,,,,,,,,,1 days 00:00:49
330198307,12/12/2023 11:45,12/15/2023 17:14,EURCAD,Sell,0.02,0.0,0.0,1.46355,1.46063,0.0,0.0,29.2,4.34,0.04,Sell Baby Termite: EURCAD,12345,,,,,,,,,,,,,3 days 05:29:41
330437280,12/15/2023 13:10,12/15/2023 15:39,AUDSGD,Sell,0.02,0.0,0.0,0.89338,0.89041,0.0,0.0,29.7,4.44,0.04,Sell Baby Termite: AUDSGD,12345,,,,,,,,,,,,,0 days 02:29:19
330409769,12/15/2023 02:10,12/15/2023 10:19,EURCHF,Sell,0.02,0.0,0.0,0.95346,0.95156,0.0,0.0,19.0,4.36,0.04,Sell Baby Termite: EURCHF,12345,,,,,,,,,,,,,0 days 08:09:16
330318952,12/13/2023 23:45,12/14/2023 16:20,EURJPY,Buy,0.02,0.0,0.0,155.486,155.794,0.0,0.0,30.8,4.32,0.04,Buy Baby Termite: EURJPY,12345,,,,,,,,,,,,,0 days 16:35:00
330316000,12/13/2023 22:40,12/14/2023 16:13,EURAUD,Buy,0.02,0.0,0.0,1.63207,1.6354,0.0,0.0,33.3,4.44,0.04,Buy Baby Termite: EURAUD,12345,,,,,,,,,,,,,0 days 17:33:43
330363498,12/14/2023 14:05,12/14/2023 15:30,GBPUSD,Sell,0.06,0.0,0.0,1.27082,1.26821,0.0,0.0,26.1,15.66,0.14,Sell Baby Termite: GBPUSD,12345,,,,,,,,,,,,,0 days 01:25:04
330317332,12/13/2023 23:00,12/14/2023 15:30,GBPUSD,Sell,0.02,0.0,0.0,1.26269,1.26819,0.0,0.0,-55.0,-11.0,-0.1,Sell Baby Termite: GBPUSD,12345,,,,,,,,,,,,,0 days 16:30:03
330335841,12/14/2023 04:55,12/14/2023 10:58,AUDUSD,Sell,0.02,0.0,0.0,0.67159,0.66942,0.0,0.0,21.7,4.34,0.04,Sell Baby Termite: AUDUSD,12345,,,,,,,,,,,,,0 days 06:03:02
330335829,12/14/2023 04:55,12/14/2023 10:51,GBPAUD,Buy,0.02,0.0,0.0,1.88285,1.88608,0.0,0.0,32.3,4.31,0.04,Buy Baby Termite: GBPAUD,12345,,,,,,,,,,,,,0 days 05:56:14
330292596,12/13/2023 17:20,12/14/2023 05:43,CHFJPY,Buy,0.02,0.0,0.0,165.753,162.647,0.0,0.0,-310.6,-44.29,-0.41,Buy Baby Termite: CHFJPY,12345,,,,,,,,,,,,,0 days 12:23:26
330318579,12/13/2023 23:30,12/14/2023 02:30,GBPAUD,Buy,0.06,0.0,0.0,1.8927,1.88734,0.0,0.0,-53.6,-21.62,-0.2,Buy Baby Termite: GBPAUD,12345,,,,,,,,,,,,,0 days 03:00:11
330293660,12/13/2023 17:40,12/14/2023 02:30,GBPAUD,Buy,0.02,0.0,0.0,1.90392,1.88734,0.0,0.0,-165.8,-22.29,-0.2,Buy Baby Termite: GBPAUD,12345,,,,,,,,,,,,,0 days 08:50:12
330052612,12/08/2023 10:30,12/13/2023 21:17,USDSGD,Sell,0.02,0.0,0.0,1.33869,1.33576,0.0,0.0,29.3,4.36,0.04,Sell Baby Termite: USDSGD,12345,,,,,,,,,,,,,5 days 10:47:06
330180981,12/12/2023 05:15,12/12/2023 15:46,AUDUSD,Sell,0.02,0.0,0.0,0.65844,0.65622,0.0,0.0,22.2,4.44,0.04,Sell Baby Termite: AUDUSD,12345,,,,,,,,,,,,,0 days 10:31:08
330183392,12/12/2023 06:40,12/12/2023 10:43,EURCHF,Buy,0.02,0.0,0.0,0.94419,0.94613,0.0,0.0,19.4,4.4,0.04,Buy Baby Termite: EURCHF,12345,,,,,,,,,,,,,0 days 04:03:05
330183492,12/12/2023 06:45,12/12/2023 10:28,EURAUD,Buy,0.06,0.0,0.0,1.634,1.63699,0.0,0.0,29.9,11.76,0.11,Buy Baby Termite: EURAUD,12345,,,,,,,,,,,,,0 days 03:43:44
329989836,12/07/2023 10:25,12/12/2023 10:28,EURAUD,Buy,0.02,0.0,0.0,1.64243,1.63699,0.0,0.0,-54.4,-7.2,-0.07,Buy Baby Termite: EURAUD,12345,,,,,,,,,,,,,5 days 00:03:44
330188288,12/12/2023 09:10,12/12/2023 10:00,GBPUSD,Sell,0.02,0.0,0.0,1.2583,1.2561,0.0,0.0,22.0,4.4,0.04,Sell Baby Termite: GBPUSD,12345,,,,,,,,,,,,,0 days 00:50:32
330141848,12/11/2023 14:30,12/11/2023 17:25,GBPCHF,Sell,0.02,0.0,0.0,1.10789,1.10591,0.0,0.0,19.8,4.48,0.04,Sell Baby Termite: GBPCHF,12345,,,,,,,,,,,,,0 days 02:55:19
330142414,12/11/2023 14:40,12/11/2023 16:26,GBPAUD,Sell,0.02,0.0,0.0,1.91759,1.91425,0.0,0.0,33.4,4.37,0.04,Sell Baby Termite: GBPAUD,12345,,,,,,,,,,,,,0 days 01:46:43
330076879,12/08/2023 16:55,12/08/2023 17:47,GBPCAD,Buy,0.02,0.0,0.0,1.70158,1.70448,0.0,0.0,29.0,4.24,0.04,Buy Baby Termite: GBPCAD,12345,,,,,,,,,,,,,0 days 00:52:09
330057527,12/08/2023 11:55,12/08/2023 12:34,GBPUSD,Buy,0.02,0.0,0.0,1.2557,1.25789,0.0,0.0,21.9,4.38,0.04,Buy Baby Termite: GBPUSD,12345,,,,,,,,,,,,,0 days 00:39:41
329989241,12/07/2023 10:10,12/07/2023 19:46,CHFJPY,Buy,0.02,0.0,0.0,166.527,163.301,0.0,0.0,-322.6,-45.46,-0.41,Buy Baby Termite: CHFJPY,12345,,,,,,,,,,,,,0 days 09:36:57
329930821,12/06/2023 10:30,12/07/2023 19:42,GBPCAD,Buy,0.02,0.0,0.0,1.70953,1.71251,0.0,0.0,29.8,4.36,0.04,Buy Baby Termite: GBPCAD,12345,,,,,,,,,,,,,1 days 09:12:28
329925861,12/06/2023 09:50,12/07/2023 16:16,EURCHF,Buy,0.02,0.0,0.0,0.94345,0.94546,0.0,0.0,20.1,4.56,0.04,Buy Baby Termite: EURCHF,12345,,,,,,,,,,,,,1 days 06:26:47
329992563,12/07/2023 11:55,12/07/2023 12:22,GBPJPY,Buy,0.06,0.0,0.0,182.351,181.923,0.0,0.0,-42.8,-17.85,-0.16,Buy Baby Termite: GBPJPY,12345,,,,,,,,,,,,,0 days 00:27:01
