Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,331258088,01/04/2024 01:05,01/04/2024 15:30,SGDCHF,Buy,0.020,0.00000,0.00000,0.64000,0.64000,0.0000,0.0000,0.0,4.41,0.04,Buy Baby Termite: SGDCHF,12345,00:14:25:13,,,,,,,,,,,,
,331156504,01/02/2024 16:55,01/04/2024 11:30,EURSGD,Buy,0.020,0.00000,0.00000,1.45187,1.45481,0.0000,0.0000,29.4,4.41,0.04,Buy Baby Termite: EURSGD,12345,01:18:35:18,,,,,,,,,,,,
,331257806,01/04/2024 00:50,01/04/2024 10:20,EURCHF,Buy,0.020,0.00000,0.00000,0.92740,0.92931,0.0000,0.0000,19.1,4.48,0.04,Buy Baby Termite: EURCHF,12345,00:09:30:21,,,,,,,,,,,,
,331234125,01/03/2024 17:55,01/04/2024 08:28,GBPAUD,Sell,0.020,0.00000,0.00000,1.88180,1.87854,0.0000,0.0000,32.6,4.37,0.04,Sell Baby Termite: GBPAUD,12345,00:14:33:40,,,,,,,,,,,,
,330679015,12/20/2023 23:05,01/04/2024 07:35,SGDJPY,Buy,0.020,0.00000,0.00000,107.85000,108.16100,0.0000,0.0000,31.1,4.31,0.04,Buy Baby Termite: SGDJPY,12345,14:08:30:10,,,,,,,,,,,,
,331228919,01/03/2024 16:40,01/04/2024 05:19,AUDSGD,Buy,0.020,0.00000,0.00000,0.89207,0.89505,0.0000,0.0000,29.8,4.46,0.04,Buy Baby Termite: AUDSGD,12345,00:12:39:30,,,,,,,,,,,,
,331146762,01/02/2024 14:40,01/03/2024 21:27,GBPUSD,Buy,0.020,0.00000,0.00000,1.26488,1.26709,0.0000,0.0000,22.1,4.42,0.04,Buy Baby Termite: GBPUSD,12345,01:06:47:28,,,,,,,,,,,,
,331192620,01/03/2024 05:15,01/03/2024 17:46,EURCAD,Sell,0.020,0.00000,0.00000,1.45935,1.45640,0.0000,0.0000,29.5,4.40,0.04,Sell Baby Termite: EURCAD,12345,00:12:31:22,,,,,,,,,,,,
,331208236,01/03/2024 11:05,01/03/2024 12:39,EURJPY,Sell,0.020,0.00000,0.00000,156.22500,155.91000,0.0000,0.0000,31.5,4.39,0.04,Sell Baby Termite: EURJPY,12345,00:01:34:18,,,,,,,,,,,,
,330797580,12/22/2023 11:25,01/03/2024 12:12,USDHKD,Sell,0.060,0.00000,0.00000,7.81308,7.80612,0.0000,0.0000,69.6,5.32,0.05,Sell Baby Termite: USDHKD,12345,12:00:47:04,,,,,,,,,,,,
,330624701,12/20/2023 06:15,01/03/2024 12:12,USDHKD,Sell,0.020,0.00000,0.00000,7.80399,7.80622,0.0000,0.0000,-22.3,-0.57,-0.01,Sell Baby Termite: USDHKD,12345,14:05:57:04,,,,,,,,,,,,
,331121146,01/02/2024 07:45,01/02/2024 17:32,EURAUD,Buy,0.020,0.00000,0.00000,1.61465,1.61792,0.0000,0.0000,32.7,4.41,0.04,Buy Baby Termite: EURAUD,12345,00:09:47:43,,,,,,,,,,,,
,331121144,01/02/2024 07:45,01/02/2024 15:49,AUDSGD,Sell,0.020,0.00000,0.00000,0.90269,0.89976,0.0000,0.0000,29.3,4.40,0.04,Sell Baby Termite: AUDSGD,12345,00:08:04:36,,,,,,,,,,,,
,331144954,01/02/2024 14:10,01/02/2024 14:30,GBPJPY,Buy,0.020,0.00000,0.00000,179.53700,179.84400,0.0000,0.0000,30.7,4.30,0.04,Buy Baby Termite: GBPJPY,12345,00:00:20:43,,,,,,,,,,,,
,331132331,01/02/2024 11:00,01/02/2024 12:59,GBPCHF,Sell,0.020,0.00000,0.00000,1.07750,1.07563,0.0000,0.0000,18.7,4.39,0.04,Sell Baby Termite: GBPCHF,12345,00:01:59:04,,,,,,,,,,,,
,331125966,01/02/2024 09:20,01/02/2024 12:00,GBPUSD,Sell,0.020,0.00000,0.00000,1.27383,1.27159,0.0000,0.0000,22.4,4.48,0.04,Sell Baby Termite: GBPUSD,12345,00:02:40:20,,,,,,,,,,,,
,330977799,12/28/2023 11:15,01/02/2024 11:14,GBPJPY,Buy,0.020,0.00000,0.00000,180.31500,180.62500,0.0000,0.0000,31.0,4.35,0.04,Buy Baby Termite: GBPJPY,12345,04:23:59:04,,,,,,,,,,,,
,331048803,12/29/2023 11:00,01/02/2024 07:07,GBPAUD,Sell,0.020,0.00000,0.00000,1.86727,1.86404,0.0000,0.0000,32.3,4.39,0.04,Sell Baby Termite: GBPAUD,12345,03:20:07:38,,,,,,,,,,,,
,331049883,12/29/2023 11:15,01/02/2024 06:29,SGDCHF,Buy,0.020,0.00000,0.00000,0.64000,0.64000,0.0000,0.0000,0.0,4.38,0.04,Buy Baby Termite: SGDCHF,12345,03:19:14:46,,,,,,,,,,,,
,331049842,12/29/2023 11:15,12/29/2023 17:53,CHFJPY,Sell,0.020,0.00000,0.00000,168.42000,168.10500,0.0000,0.0000,31.5,4.43,0.04,Sell Baby Termite: CHFJPY,12345,00:06:38:15,,,,,,,,,,,,
,331060137,12/29/2023 14:20,12/29/2023 17:27,AUDSGD,Buy,0.020,0.00000,0.00000,0.89703,0.89994,0.0000,0.0000,29.1,4.39,0.04,Buy Baby Termite: AUDSGD,12345,00:03:07:23,,,,,,,,,,,,
,331031196,12/29/2023 03:55,12/29/2023 17:06,EURCAD,Sell,0.020,0.00000,0.00000,1.46554,1.46260,0.0000,0.0000,29.4,4.43,0.04,Sell Baby Termite: EURCAD,12345,00:13:11:48,,,,,,,,,,,,
